11305	Cytorhabdovirus	479	17	12
11306	Nucleorhabdovirus	\N	\N	\N
11308	Orthomyxoviridae	149	23	16
11320	Influenza A virus	91	12	7
11572	Orthobunyavirus	235	9	36
11584	Phlebovirus	185	14	18
11617	Arenaviridae	197	11	39
11632	Retroviridae	682	71	67
11646	Lentivirus	255	24	10
11974	Caliciviridae	758	16	41
12036	Luteovirus	235	6	8
12051	Marafivirus	322	5	12
12058	Picornaviridae	2235	40	155
12059	Enterovirus	957	10	29
12091	Hepatovirus	661	6	11
12137	Sobemovirus	235	12	18
12141	Tombusvirus	240	5	16
12148	Tymovirus	507	7	23
12160	Closterovirus	518	25	11
12163	Carlavirus	1042	17	52
12176	Potexvirus	891	10	42
12195	Potyvirus	1420	32	120
12234	Tobamovirus	607	6	35
12258	Comovirus	635	5	10
12270	Nepovirus	746	8	25
12283	Nodaviridae	64	9	15
12291	Furovirus	426	6	6
12300	Bromovirus	275	4	7
12316	Ilarvirus	411	9	22
12877	Satellites	541	10	19
12916	Acidovorax	158499	11037	29
13687	Sphingomonas	537840	18404	148
13792	Mamiellales	34445	9053	5
27994	Theileriidae	17173	3833	5
28056	Micromonosporaceae	872823	24549	139
28105	Sinorhizobium	58953	7974	14
28196	Arcobacter	58302	4774	16
28211	Alphaproteobacteria	10875319	108505	2683
28216	Betaproteobacteria	5213368	68181	1209
28221	Deltaproteobacteria	1031842	43231	12
28228	Colwellia	84191	6774	21
28231	Geobacter	59596	6072	11
28253	Marinomonas	104986	7463	29
28256	Halomonadaceae	476417	12994	147
28453	Sphingobacterium	164519	9811	43
28556	Pleosporaceae	469105	18099	43
28568	Trichocomaceae	106322	13410	11
28738	Cyprinodontiformes	418653	23841	19
28884	Hydrogenovibrio	13959	2364	7
28890	Euryarchaeota	1426403	33146	488
29330	Alicyclobacillus	52000	5064	18
29465	Veillonella	33550	2974	20
29521	Brachyspira	31840	3283	13
29547	Campylobacterota	382806	12838	212
29580	Janthinobacterium	103850	8092	22
31932	Nitrosopumilales	24777	2622	14
31953	Bifidobacteriaceae	164674	6764	100
31957	Propionibacteriaceae	144956	10580	56
31969	Mollicutes	120986	7181	96
31977	Veillonellaceae	83249	5860	46
31979	Clostridiaceae	767555	25871	208
31989	Paracoccaceae	2544319	34128	349
32003	Nitrosomonadales	269788	13221	106
32008	Burkholderia	460319	20713	67
32011	Methylophilaceae	59144	4534	28
32033	Xanthomonadaceae	659253	18131	200
32066	Fusobacteriota	108022	7479	55
32067	Leptotrichia	27698	3338	13
32199	Buchnera	25132	640	52
32523	Tetrapoda	15216153	47229	896
32613	Ephemerovirus	860	20	9
33055	Candidatus Kinetoplastibacterium	4142	747	6
33057	Thauera	49668	5866	14
33090	Viridiplantae	11354421	154313	416
33183	Onygenales	468732	12227	65
33208	Metazoa	40531522	275697	2506
33392	Endopterygota	12106590	69051	914
33554	Carnivora	1363880	24550	72
33630	Alveolata	919054	52795	143
33634	Stramenopiles	1098990	54776	88
33682	Euglenozoa	313669	12553	40
33877	Agromyces	107593	6809	32
33882	Microbacterium	455177	13635	144
33926	Phytoplasma	5600	577	14
33958	Lactobacillaceae	635269	19939	320
33986	Exiguobacterium	59943	4576	21
34019	Liberibacter	4355	942	5
34064	Francisellaceae	22954	2373	15
34072	Variovorax	246549	14091	42
34098	Blattabacterium	4944	587	9
34365	Saccharomycodaceae	27153	4914	7
34379	Pseudeurotiaceae	99932	13141	22
34384	Arthrodermataceae	178945	8198	24
34395	Chaetothyriales	359615	14805	38
34397	Clavicipitaceae	382688	11584	49
34735	Apoidea	888906	16766	87
35278	unclassified ssRNA positive-strand viruses	11585	635	41
35325	dsRNA viruses	1510	249	22
35342	unclassified ssDNA viruses	5491	295	92
36668	Formicidae	400631	15080	37
37572	Papilionoidea	765185	24023	59
37989	Xylariales	1301630	29180	118
38820	Poales	1347262	48389	40
39152	Methanococcus maripaludis	6646	1752	4
39724	Circoviridae	1083	29	199
39725	Circovirus	470	6	49
39729	Potyviridae	1608	49	155
39731	Bymovirus	273	7	6
39733	Astroviridae	359	13	48
39734	Umbravirus	180	5	9
39738	Tombusviridae	466	28	81
39740	Bromoviridae	518	16	38
39744	Rubulavirus	\N	\N	\N
39748	Hypoviridae	17	6	9
39749	Hypovirus	17	6	2
40119	Parvovirinae	374	15	92
40120	Densovirinae	224	22	30
40122	Iteradensovirus	51	3	8
40222	Methylophaga	16774	2980	7
40272	Roseolovirus	1659	88	6
40274	Chlamydiamicrovirus	93	8	5
40276	Trichovirus	528	9	6
40323	Stenotrophomonas	173525	9131	49
40674	Mammalia	7936901	42608	405
41084	Polyphaga	1123735	44258	75
41275	Brevundimonas	82605	5807	31
41294	Nitrobacteraceae	1072326	27085	143
41295	Rhodospirillaceae	537685	22692	63
